"product" "gene" "start" "end" "strand"
"3841" "methionine synthase" "vnz_20150" 4420408 4423869 "+"
"3842" "methylenetetrahydrofolate reductase [NAD(P)H]" "vnz_20155" 4423866 4424726 "+"
"3843" "adenosylhomocysteinase" "vnz_20160" 4424719 4426122 "+"
"3844" "maleylpyruvate isomerase familymycothiol-dependent enzyme" "vnz_20165" 4426124 4426792 "+"
"3845" "amino acid adenylation domain-containingprotein" "vnz_20170" 4426846 4430550 "+"
"3846" "DUF4232 domain-containing protein" "vnz_20175" 4430717 4431484 "+"
"3847" "hypothetical protein" "vnz_20180" 4431486 4432400 "-"
"3848" "helix-turn-helix domain-containing protein" "vnz_20185" 4432560 4433429 "-"
"3849" "hypothetical protein" "vnz_20190" 4433442 4433978 "-"
"3850" "hypothetical protein" "vnz_20195" 4433947 4434210 "-"
"3851" "hypothetical protein" "vnz_20205" 4434986 4435522 "+"
"3852" "hypothetical protein" "vnz_20210" 4435555 4435761 "+"
"3853" "phosphotransferase" "vnz_20215" 4435821 4436483 "-"
"3854" "SDR family oxidoreductase" "vnz_20220" 4436559 4437326 "-"
"3855" "helix-turn-helix transcriptional regulator" "vnz_20225" 4437386 4438081 "+"
"3856" "serine hydrolase" "vnz_20230" 4438311 4439456 "+"
"3857" "hypothetical protein" "vnz_20235" 4439617 4439895 "+"
"3858" "DUF2087 domain-containing protein" "vnz_20240" 4439964 4440290 "+"
"3859" "LysE family transporter" "vnz_20245" 4440287 4440916 "+"
"3860" "peptidoglycan-binding protein" "vnz_20250" 4440939 4441307 "-"
"3862" "hypothetical protein" "vnz_20260" 4441813 4442784 "-"
"3863" "PIG-L family deacetylase" "vnz_20265" 4442901 4443635 "-"
"3864" "asparagine synthase (glutamine-hydrolyzing)" "vnz_20270" 4443776 4445593 "+"
"3865" "hypothetical protein" "vnz_20275" 4445583 4446488 "+"
"3866" "SDR family oxidoreductase" "vnz_20280" 4446580 4447326 "+"
"3867" "class I tRNA ligase family protein" "vnz_20285" 4447346 4448911 "+"
"3868" "D-inositol-3-phosphate glycosyltransferase" "vnz_20290" 4449049 4450353 "+"
"3869" "hypothetical protein" "vnz_20295" 4450570 4450770 "+"
"3870" "helix-turn-helix transcriptional regulator" "vnz_20300" 4451031 4452083 "-"
"3871" "helix-turn-helix domain-containing protein" "vnz_20305" 4452208 4453230 "-"
"3872" "transcriptional repressor" "vnz_20310" 4453328 4453759 "-"
"3873" "methyltransferase domain-containing protein" "vnz_20315" 4453906 4454763 "-"
"3874" "GNAT family N-acetyltransferase" "vnz_20320" 4455022 4455504 "-"
"3875" "M56 family metallopeptidase" "vnz_20325" 4455653 4456564 "-"
"3876" "BlaI/MecI/CopY family transcriptional regulator" "vnz_20330" 4456561 4456950 "-"
"3877" "metal-sensitive transcriptional regulator" "vnz_20335" 4457122 4457403 "-"
"3878" "copper-translocating P-type ATPase" "vnz_20340" 4457441 4459708 "-"
"3879" "heavy-metal-associated domain-containingprotein" "vnz_20345" 4459927 4460211 "-"
"3880" "hypothetical protein" "vnz_20350" 4460396 4461373 "+"
"3881" "copper homeostasis protein CutC" "vnz_20355" 4461425 4462114 "+"
"3882" "aminoglycoside phosphotransferase familyprotein" "vnz_20360" 4462182 4463108 "+"
"3883" "dihydrofolate reductase family protein" "vnz_20365" 4463105 4463677 "-"
"3884" "VOC family protein" "vnz_20370" 4463764 4464246 "-"
"3885" "AAA family ATPase" "vnz_20375" 4464243 4466270 "-"
"3886" "hypothetical protein" "vnz_20380" 4466520 4466708 "+"
"3887" "DEAD/DEAH box helicase" "vnz_20385" 4466712 4468352 "-"
"3888" "Uma2 family endonuclease" "vnz_20390" 4468485 4469063 "+"
"3889" "helicase C-terminal domain-containing protein" "vnz_20395" 4469116 4471608 "-"
"3890" "hypothetical protein" "vnz_20400" 4471714 4472811 "+"
"3891" "ABC transporter ATP-binding protein" "vnz_20405" 4472916 4473758 "-"
"3892" "iron chelate uptake ABC transporter familypermease subunit" "vnz_20410" 4473755 4474822 "-"
"3893" "iron chelate uptake ABC transporter familypermease subunit" "vnz_20415" 4474819 4475823 "-"
"3894" "HAD family hydrolase" "vnz_20420" 4475976 4476602 "+"
"3895" "hypothetical protein" "vnz_20425" 4476590 4476868 "-"
"3896" "cold-shock protein" "vnz_20430" 4477009 4477392 "+"
"3897" "1,4-dihydroxy-6-naphthoate synthase" "vnz_20435" 4477397 4478251 "-"
"3898" "futalosine hydrolase" "vnz_20440" 4478248 4479141 "-"
"3899" "hypothetical protein" "vnz_20445" 4479173 4479652 "-"
"3900" "MFS transporter" "vnz_20450" 4479796 4481193 "-"
"3901" "DUF3027 domain-containing protein" "vnz_20455" 4481538 4482467 "+"
"3902" "hypothetical protein" "vnz_20460" 4482650 4485796 "+"
"3903" "hypothetical protein" "vnz_20465" 4485971 4486873 "-"
"3904" "hypothetical protein" "vnz_20470" 4486998 4487324 "-"
"3905" "cation-translocating P-type ATPase" "vnz_20475" 4487505 4489913 "-"
"3906" "DUF2530 domain-containing protein" "vnz_20480" 4489967 4490347 "-"
"3907" "NCS2 family permease" "vnz_20485" 4490507 4491952 "+"
"3908" "hypothetical protein" "vnz_20490" 4491945 4492169 "-"
"3909" "MarR family transcriptional regulator" "vnz_20495" 4492361 4492804 "+"
"3910" "MFS transporter" "vnz_20500" 4492831 4494168 "+"
"3911" "GNAT family N-acetyltransferase" "vnz_20505" 4494356 4494862 "-"
"3912" "RNA 2',3'-cyclic phosphodiesterase" "vnz_20510" 4494896 4495468 "+"
"3913" "aldo/keto reductase" "vnz_20515" 4495679 4496668 "+"
"3914" "winged helix-turn-helix transcriptionalregulator" "vnz_20525" 4498535 4499095 "-"
"3915" "carboxymuconolactone decarboxylase" "vnz_20530" 4499094 4499558 "+"
"3916" "hypothetical protein" "vnz_20535" 4499563 4500243 "-"
"3917" "alpha/beta hydrolase" "vnz_20540" 4500412 4501251 "-"
"3918" "membrane protein" "vnz_20545" 4501322 4502317 "+"
"3919" "phosphoserine transaminase" "vnz_20550" 4502389 4503507 "-"
"3920" "FAD-binding oxidoreductase" "vnz_20555" 4503559 4506438 "+"
"3921" "helix-turn-helix domain-containing protein" "vnz_20560" 4507234 4508082 "+"
"3922" "DUF397 domain-containing protein" "vnz_20565" 4508042 4508317 "+"
"3923" "LysR family transcriptional regulator" "vnz_20570" 4508338 4509195 "-"
"3924" "EamA family transporter" "vnz_20575" 4509349 4510323 "+"
"3925" "formylglycine-generating enzyme family protein" "vnz_20580" 4510437 4511198 "-"
"3926" "NAD(P)-binding domain-containing protein" "vnz_20585" 4511382 4512269 "+"
"3927" "VOC family protein" "vnz_20590" 4512362 4512739 "+"
"3928" "hypothetical protein" "vnz_20595" 4512891 4513535 "+"
"3929" "SgcJ/EcaC family oxidoreductase" "vnz_20600" 4513660 4514064 "-"
"3930" "heavy metal translocating P-type ATPase" "vnz_20605" 4514167 4516497 "-"
"3931" "winged helix-turn-helix transcriptionalregulator" "vnz_20610" 4516591 4516995 "+"
"3933" "alpha/beta fold hydrolase" "vnz_20620" 4517509 4518372 "+"
"3934" "GNAT family N-acetyltransferase" "vnz_20625" 4518553 4519053 "-"
"3935" "acyl--CoA ligase" "vnz_20635" 4522040 4523638 "+"
"3936" "DMT family transporter" "vnz_20640" 4523876 4524940 "+"
"3937" "TetR/AcrR family transcriptional regulator" "vnz_20645" 4525056 4525658 "-"
"3938" "gamma-butyrolactone biosynthesis protein" "vnz_20650" 4525792 4526817 "+"
"3939" "LysR family transcriptional regulator" "vnz_20655" 4526896 4527192 "+"
"3940" "HAD-IB family hydrolase" "vnz_20660" 4527189 4527962 "+"
"3941" "hypothetical protein" "vnz_20675" 4529004 4530221 "+"
"3942" "M1 family metallopeptidase" "vnz_20680" 4530885 4532273 "-"
"3943" "hypothetical protein" "vnz_20685" 4532333 4532938 "-"
"3944" "TIGR03084 family protein" "vnz_20690" 4533084 4534019 "+"
"3945" "DUF1446 domain-containing protein" "vnz_20695" 4534016 4535740 "+"
"3946" "acetyl-CoA carboxylase carboxyltransferasesubunit" "vnz_20700" 4535928 4537529 "+"
"3947" "ATP-grasp domain-containing protein" "vnz_20705" 4537568 4539517 "+"
"3948" "acyl-CoA dehydrogenase" "vnz_20710" 4539514 4540647 "+"
"3949" "RidA family protein" "vnz_20720" 4541722 4542117 "-"
"3950" "WYL domain-containing protein" "vnz_20725" 4542209 4543213 "+"
"3951" "AMP-binding protein" "vnz_20730" 4543323 4544915 "+"
"3952" "enoyl-CoA hydratase family protein" "vnz_20735" 4544912 4545634 "+"
"3953" "TetR/AcrR family transcriptional regulator" "vnz_20740" 4545622 4546221 "+"
"3954" "isopenicillin N synthase family oxygenase" "vnz_20750" 4547534 4548601 "+"
"3955" "citrate synthase 2" "vnz_20755" 4548749 4549849 "-"
"3956" "pyridoxamine 5'-phosphate oxidase" "vnz_20760" 4550085 4550732 "+"
"3957" "PAS domain-containing protein" "vnz_20765" 4550868 4552202 "+"
"3958" "SIS domain-containing protein" "vnz_20770" 4552298 4553065 "-"
"3959" "metal-dependent transcriptional regulator" "vnz_20775" 4553249 4553938 "+"
"3960" "alpha/beta hydrolase" "vnz_20780" 4554426 4555307 "+"
"3961" "peptidase inhibitor family I36 protein" "vnz_20785" 4555444 4556667 "+"
"3962" "peptidase inhibitor family I36 protein" "vnz_20790" 4556837 4557208 "+"
"3963" "hypothetical protein" "vnz_20795" 4557240 4558145 "+"
"3964" "GNAT family N-acetyltransferase" "vnz_20800" 4558212 4558613 "-"
"3965" "VanZ family protein" "vnz_20805" 4558664 4559383 "-"
"3966" "GNAT family N-acetyltransferase" "vnz_20810" 4559469 4560017 "+"
"3967" "GNAT family N-acetyltransferase" "vnz_20815" 4560036 4560686 "-"
"3968" "carboxymuconolactone decarboxylase familyprotein" "vnz_20820" 4560862 4561335 "+"
"3969" "DoxX family protein" "vnz_20825" 4561379 4561765 "+"
"3970" "hypothetical protein" "vnz_20830" 4561861 4563492 "-"
"3971" "ABC transporter ATP-binding protein" "vnz_20835" 4563489 4564334 "-"
"3972" "bifunctional DNA primase/polymerase" "vnz_20840" 4564408 4565094 "-"
"3973" "hypothetical protein" "vnz_20845" 4565353 4566735 "+"
"3974" "hypothetical protein" "vnz_20850" 4566859 4568409 "+"
"3975" "ABC transporter substrate-binding protein" "vnz_20855" 4568435 4569772 "-"
"3976" "hypothetical protein" "vnz_20860" 4569965 4570411 "+"
"3977" "formyltetrahydrofolate deformylase" "vnz_20865" 4570458 4571309 "+"
"3978" "hypothetical protein" "vnz_20870" 4571355 4572638 "-"
"3979" "sigma-70 family RNA polymerase sigma factor" "vnz_20875" 4572635 4573213 "-"
"3980" "STAS domain-containing protein" "vnz_20880" 4573393 4573809 "+"
"3981" "AMP-binding protein" "vnz_20885" 4573781 4575295 "-"
"3982" "amidohydrolase" "vnz_20890" 4575445 4576635 "+"
"3983" "acyl-CoA dehydrogenase family protein" "vnz_20895" 4576635 4577771 "+"
"3984" "acyl-CoA/acyl-ACP dehydrogenase" "vnz_20900" 4577779 4578642 "+"
"3985" "ATP-binding protein" "vnz_20905" 4579043 4579486 "+"
"3986" "cyclase family protein" "vnz_20910" 4579698 4580624 "-"
"3987" "SDR family oxidoreductase" "vnz_20915" 4580726 4581658 "+"
"3988" "Zn-dependent alcohol dehydrogenase" "vnz_20920" 4581655 4582704 "+"
"3989" "DUF4157 domain-containing protein" "vnz_20925" 4582751 4585357 "-"
"3990" "helix-turn-helix domain-containing protein" "vnz_20930" 4585779 4586792 "-"
"3991" "MFS transporter" "vnz_20935" 4586920 4588128 "+"
"3992" "MFS transporter" "vnz_20940" 4588205 4589518 "+"
"3993" "flavin reductase family protein" "vnz_20945" 4589508 4590089 "-"
"3994" "enoyl-CoA hydratase/isomerase family protein" "vnz_20950" 4590161 4590880 "-"
"3995" "acetate--CoA ligase family protein" "vnz_20955" 4590965 4593187 "-"
"3996" "PD40 domain-containing protein" "vnz_20960" 4593389 4595116 "+"
"3997" "NAD(P)/FAD-dependent oxidoreductase" "vnz_20965" 4595092 4596279 "-"
"3998" "DoxX family membrane protein" "vnz_20970" 4596530 4596982 "+"
"3999" "Zn-ribbon domain-containing OB-fold protein" "vnz_20975" 4596979 4597383 "+"
"4000" "protein kinase" "vnz_20980" 4597372 4599339 "-"
"4001" "HAD-IA family hydrolase" "vnz_20985" 4599496 4600119 "-"
"4002" "VCBS repeat-containing protein" "vnz_20990" 4600222 4602477 "-"
"4003" "DUF664 domain-containing protein" "vnz_21000" 4604981 4605487 "-"
"4004" "DUF1992 domain-containing protein" "vnz_21005" 4605540 4605941 "-"
"4005" "cold-shock protein" "vnz_21010" 4606057 4606260 "-"
"4006" "menaquinone biosynthesis protein" "vnz_21015" 4606522 4607394 "+"
"4007" "dehypoxanthine futalosine cyclase" "vnz_21020" 4607663 4608862 "+"
"4008" "hypothetical protein" "vnz_21025" 4608868 4609467 "+"
"4009" "demethylmenaquinone methyltransferase" "vnz_21030" 4609567 4610259 "+"
"4010" "geranylgeranyl reductase family protein" "vnz_21035" 4610317 4611603 "+"
"4011" "helix-turn-helix domain-containing protein" "vnz_21040" 4611569 4612564 "-"
"4012" "NAD(P)-dependent oxidoreductase" "vnz_21045" 4612659 4613522 "+"
"4013" "C40 family peptidase" "vnz_21050" 4613614 4614498 "-"
"4014" "NADH-quinone oxidoreductase subunit A" "vnz_21055" 4615169 4615528 "+"
"4015" "NADH-quinone oxidoreductase subunit B" "vnz_21060" 4615546 4616100 "+"
"4016" "NADH-quinone oxidoreductase subunit C" "vnz_21065" 4616097 4616828 "+"
"4017" "NADH-quinone oxidoreductase subunit D" "vnz_21070" 4616828 4618150 "+"
"4018" "NADH-quinone oxidoreductase subunit NuoE" "vnz_21075" 4618147 4618887 "+"
"4019" "NADH-quinone oxidoreductase subunit NuoF" "vnz_21080" 4618887 4620236 "+"
"4020" "NADH-quinone oxidoreductase subunit G" "vnz_21085" 4620233 4622716 "+"
"4021" "NADH-quinone oxidoreductase subunit NuoH" "vnz_21090" 4622713 4624077 "+"
"4022" "NADH-quinone oxidoreductase subunit NuoI" "vnz_21095" 4624052 4624648 "+"
"4023" "NADH-quinone oxidoreductase subunit J" "vnz_21100" 4624645 4625472 "+"
"4024" "NADH-quinone oxidoreductase subunit NuoK" "vnz_21105" 4625469 4625768 "+"
"4025" "NADH-quinone oxidoreductase subunit L" "vnz_21110" 4625781 4627673 "+"
"4026" "NADH-quinone oxidoreductase subunit M" "vnz_21115" 4627679 4629250 "+"
"4027" "NADH-quinone oxidoreductase subunit NuoN" "vnz_21120" 4629247 4630908 "+"
"4028" "hypothetical protein" "vnz_21125" 4630984 4631313 "-"
"4029" "helix-turn-helix domain-containing protein" "vnz_21130" 4631469 4632398 "+"
"4030" "dioxygenase" "vnz_21135" 4632447 4633271 "+"
"4031" "fumarylacetoacetase" "vnz_21140" 4633281 4634507 "-"
"4032" "LPXTG cell wall anchor domain-containingprotein" "vnz_21145" 4634798 4636147 "+"
"4033" "CocE/NonD family hydrolase" "vnz_21150" 4636187 4638187 "-"
"4034" "peptide MFS transporter" "vnz_21155" 4638221 4639726 "-"
"4035" "polyprenyl synthetase family protein" "vnz_21160" 4639937 4640947 "+"
"4036" "membrane protein" "vnz_21165" 4641157 4642359 "+"
"4037" "M28 family peptidase" "vnz_21170" 4642451 4643755 "-"
"4038" "hypothetical protein" "vnz_21175" 4644008 4645132 "+"
"4039" "GNAT family N-acetyltransferase" "vnz_21180" 4645222 4645839 "+"
"4040" "NAD(P)-binding domain-containing protein" "vnz_21185" 4645893 4646642 "+"
"4041" "DUF4291 domain-containing protein" "vnz_21190" 4646653 4647288 "-"
"4042" "helix-turn-helix transcriptional regulator" "vnz_21195" 4647333 4647770 "-"
"4043" "MFS transporter" "vnz_21200" 4647882 4649330 "+"
"4044" "hypothetical protein" "vnz_21205" 4649360 4649680 "+"
"4045" "EamA family transporter RarD" "vnz_21210" 4649691 4650695 "-"
"4046" "SDR family oxidoreductase" "vnz_21215" 4650805 4651671 "-"
"4047" "helix-turn-helix transcriptional regulator" "vnz_21220" 4651769 4652203 "+"
"4048" "hypothetical protein" "vnz_21225" 4652290 4653138 "+"
"4049" "ABC transporter substrate-binding protein" "vnz_21230" 4653135 4655363 "+"
"4050" "ABC transporter substrate-binding protein" "vnz_21235" 4655370 4657553 "+"
"4051" "2-oxoacid:ferredoxin oxidoreductase subunitbeta" "vnz_21240" 4657615 4658676 "-"
"4052" "2-oxoacid:acceptor oxidoreductase subunit alpha" "vnz_21245" 4658669 4660606 "-"
"4053" "response regulator transcription factor" "vnz_21250" 4660918 4661577 "-"
"4054" "sensor histidine kinase" "vnz_21255" 4661763 4663049 "-"
"4055" "sensor domain-containing protein" "vnz_21260" 4663329 4664528 "-"
"4056" "NADH-quinone oxidoreductase subunit A" "vnz_21265" 4664667 4665095 "+"
"4057" "NADH-quinone oxidoreductase subunit B" "vnz_21270" 4665086 4665667 "+"
"4058" "NADH-quinone oxidoreductase subunit C" "vnz_21275" 4665664 4667205 "+"
"4059" "NADH-quinone oxidoreductase subunit H" "vnz_21280" 4667202 4668170 "+"
"4060" "NADH-quinone oxidoreductase subunit I" "vnz_21285" 4668170 4668730 "+"
"4061" "NADH-quinone oxidoreductase subunit J" "vnz_21290" 4668727 4669275 "+"
"4062" "NADH-quinone oxidoreductase subunit NuoK" "vnz_21295" 4669275 4669664 "+"
"4063" "NADH-quinone oxidoreductase subunit L" "vnz_21300" 4669661 4671640 "+"
"4064" "NADH-quinone oxidoreductase subunit M" "vnz_21305" 4671668 4673221 "+"
"4065" "NADH-quinone oxidoreductase subunit N" "vnz_21310" 4673218 4674711 "+"
"4066" "large conductance mechanosensitive channelprotein MscL" "vnz_21315" 4674748 4675203 "+"
"4067" "zinc metalloprotease HtpX" "vnz_21320" 4675367 4676230 "+"
"4068" "YccF domain-containing protein" "vnz_21325" 4676227 4676640 "+"
"4069" "hypothetical protein" "vnz_21330" 4676649 4677668 "+"
"4070" "amino acid permease" "vnz_21335" 4677634 4678872 "-"
"4071" "alpha-ketoglutarate-dependent dioxygenase AlkB" "vnz_21340" 4678883 4679506 "-"
"4072" "methylated-DNA--[protein]-cysteineS-methyltransferase" "vnz_21345" 4679503 4679961 "-"
"4073" "YajQ family cyclic di-GMP-binding protein" "vnz_21350" 4680074 4680565 "-"
"4074" "NAD(P)H-binding protein" "vnz_21360" 4680888 4681544 "-"
"4075" "amidohydrolase family protein" "vnz_21365" 4681547 4682827 "-"
"4076" "50S ribosomal protein L33" "vnz_21380" 4683323 4683487 "+"
"4077" "MaoC family dehydratase" "vnz_21385" 4683569 4684021 "+"
"4078" "MaoC family dehydratase" "vnz_21390" 4684024 4684452 "+"
"4079" "TetR/AcrR family transcriptional regulator" "vnz_21395" 4684604 4685173 "+"
"4080" "MFS transporter" "vnz_21400" 4685290 4686729 "+"
"4081" "UDP-N-acetylmuramate dehydrogenase" "vnz_21405" 4687196 4688254 "+"
"4082" "SDR family oxidoreductase" "vnz_21410" 4688272 4688904 "-"
"4083" "TetR/AcrR family transcriptional regulator" "vnz_21415" 4688991 4689587 "+"
"4084" "adenosine deaminase" "vnz_21420" 4689580 4690602 "-"
"4085" "pyridoxal phosphate-dependent aminotransferase" "vnz_21425" 4690740 4691966 "-"
"4086" "preprotein translocase subunit SecE" "vnz_21435" 4692350 4692637 "+"
"4087" "transcription termination/antiterminationprotein NusG" "vnz_21440" 4692682 4693581 "+"
"4088" "50S ribosomal protein L11" "vnz_21445" 4693740 4694174 "+"
"4089" "50S ribosomal protein L1" "vnz_21450" 4694253 4694981 "+"
"4090" "hypothetical protein" "vnz_21455" 4695111 4695905 "+"
"4091" "50S ribosomal protein L10" "vnz_21460" 4696158 4696688 "+"
"4092" "50S ribosomal protein L7/L12" "vnz_21465" 4696800 4697186 "+"
"4093" "DNA-directed RNA polymerase subunit beta" "vnz_21470" 4697735 4701217 "+"
"4094" "DNA-directed RNA polymerase subunit beta'" "vnz_21475" 4701325 4705224 "+"
"4095" "hypothetical protein" "vnz_21480" 4705290 4705553 "-"
"4096" "hypothetical protein" "vnz_21485" 4705540 4705785 "-"
"4097" "N-acetylmuramoyl-L-alanine amidase" "vnz_21490" 4705809 4706720 "-"
"4098" "hypothetical protein" "vnz_21495" 4706798 4707208 "-"
"4099" "hypothetical protein" "vnz_21500" 4707267 4707836 "-"
"4100" "hypothetical protein" "vnz_21505" 4707836 4708966 "-"
"4101" "hypothetical protein" "vnz_21510" 4708978 4710123 "-"
"4102" "hypothetical protein" "vnz_21515" 4710155 4711348 "-"
"4103" "hypothetical protein" "vnz_21520" 4711386 4712579 "-"
"4104" "phage tail family protein" "vnz_21525" 4712629 4713561 "-"
"4105" "hypothetical protein" "vnz_21530" 4713609 4714856 "-"
"4106" "phage tail protein" "vnz_21535" 4714853 4716058 "-"
"4107" "hypothetical protein" "vnz_21540" 4716090 4717103 "-"
"4108" "hypothetical protein" "vnz_21545" 4717195 4717407 "-"
"4109" "hypothetical protein" "vnz_21550" 4717712 4718689 "+"
"4110" "hypothetical protein" "vnz_21555" 4718719 4719021 "-"
"4111" "hypothetical protein" "vnz_21560" 4719135 4719425 "-"
"4112" "hypothetical protein" "vnz_21565" 4719521 4720126 "-"
"4113" "hypothetical protein" "vnz_21570" 4720229 4720636 "-"
"4114" "hypothetical protein" "vnz_21575" 4720908 4721732 "+"
"4115" "hypothetical protein" "vnz_21580" 4721786 4721989 "-"
"4116" "hypothetical protein" "vnz_21585" 4721983 4722684 "-"
"4117" "WhiB family transcriptional regulator" "vnz_21590" 4722719 4723006 "-"
"4118" "helix-turn-helix transcriptional regulator" "vnz_21595" 4723279 4723728 "+"
"4119" "30S ribosomal protein S12" "vnz_21600" 4724060 4724431 "+"
"4120" "30S ribosomal protein S7" "vnz_21605" 4724434 4724904 "+"
"4121" "elongation factor G" "vnz_21610" 4724944 4727073 "+"
"4122" "elongation factor Tu" "vnz_21615" 4727224 4728417 "+"
"4123" "PIG-L family deacetylase" "vnz_21620" 4728514 4730493 "-"
"4124" "hypothetical protein" "vnz_21625" 4730706 4731068 "+"
"4125" "sigma-70 family RNA polymerase sigma factor" "vnz_21630" 4731065 4732306 "+"
"4126" "30S ribosomal protein S10" "vnz_21635" 4732753 4733061 "+"
"4127" "50S ribosomal protein L3" "vnz_21640" 4733075 4733719 "+"
"4128" "50S ribosomal protein L4" "vnz_21645" 4733727 4734377 "+"
"4129" "50S ribosomal protein L23" "vnz_21650" 4734377 4734700 "+"
"4130" "50S ribosomal protein L2" "vnz_21655" 4734741 4735577 "+"
"4131" "30S ribosomal protein S19" "vnz_21660" 4735590 4735871 "+"
"4132" "50S ribosomal protein L22" "vnz_21665" 4735914 4736261 "+"
"4133" "30S ribosomal protein S3" "vnz_21670" 4736261 4737100 "+"
"4134" "50S ribosomal protein L16" "vnz_21675" 4737106 4737525 "+"
"4135" "50S ribosomal protein L29" "vnz_21680" 4737525 4737749 "+"
"4136" "30S ribosomal protein S17" "vnz_21685" 4737749 4738030 "+"
"4137" "50S ribosomal protein L14" "vnz_21690" 4738136 4738504 "+"
"4138" "50S ribosomal protein L24" "vnz_21695" 4738507 4738818 "+"
"4139" "50S ribosomal protein L5" "vnz_21700" 4738815 4739372 "+"
"4140" "type Z 30S ribosomal protein S14" "vnz_21705" 4739378 4739563 "+"
"4141" "30S ribosomal protein S8" "vnz_21710" 4739770 4740168 "+"
"4142" "50S ribosomal protein L6" "vnz_21715" 4740190 4740729 "+"
"4143" "50S ribosomal protein L18" "vnz_21720" 4740733 4741116 "+"
"4144" "30S ribosomal protein S5" "vnz_21725" 4741163 4741765 "+"
"4145" "50S ribosomal protein L30" "vnz_21730" 4741765 4741947 "+"
"4146" "50S ribosomal protein L15" "vnz_21735" 4741949 4742404 "+"
"4147" "preprotein translocase subunit SecY" "vnz_21740" 4742618 4743937 "+"
"4148" "adenylate kinase" "vnz_21745" 4743937 4744584 "+"
"4149" "type I methionyl aminopeptidase" "vnz_21750" 4744681 4745532 "+"
"4150" "translation initiation factor IF-1" "vnz_21760" 4745965 4746186 "+"
"4151" "50S ribosomal protein L36" "vnz_21765" 4746250 4746363 "+"
"4152" "30S ribosomal protein S13" "vnz_21770" 4746554 4746934 "+"
"4153" "30S ribosomal protein S11" "vnz_21775" 4747001 4747405 "+"
"4154" "DNA-directed RNA polymerase subunit alpha" "vnz_21780" 4747557 4748579 "+"
"4155" "50S ribosomal protein L17" "vnz_21785" 4748727 4749191 "+"
"4156" "tRNA pseudouridine(38-40) synthase TruA" "vnz_21790" 4749283 4750140 "+"
"4157" "hypothetical protein" "vnz_21795" 4750111 4751127 "-"
"4158" "ATP-binding cassette domain-containing protein" "vnz_21800" 4751184 4752806 "+"
"4159" "50S ribosomal protein L13" "vnz_21805" 4753065 4753508 "+"
"4160" "30S ribosomal protein S9" "vnz_21810" 4753553 4754065 "+"
"4161" "phosphoglucosamine mutase" "vnz_21815" 4754179 4755537 "+"
"4162" "DUF389 domain-containing protein" "vnz_21820" 4755604 4756563 "-"
"4163" "type I pantothenate kinase" "vnz_21825" 4756594 4757562 "-"
"4164" "hypothetical protein" "vnz_21830" 4757759 4758529 "+"
"4165" "glutamine--fructose-6-phosphate transaminase(isomerizing)" "vnz_21835" 4758569 4760416 "+"
"4166" "holo-ACP synthase" "vnz_21840" 4760435 4760803 "+"
"4167" "bifunctional ADP-dependent NAD(P)H-hydratedehydratase/NAD(P)H-hydrate epimerase" "vnz_21845" 4761093 4762538 "+"
"4168" "L,D-transpeptidase family protein" "vnz_21850" 4762749 4763579 "+"
"4169" "alanine racemase" "vnz_21855" 4763600 4764748 "+"
"4170" "alpha/beta fold hydrolase" "vnz_21860" 4764759 4765949 "+"
"4171" "tRNA(adenosine(37)-N6)-threonylcarbamoyltransferase complexATPase subunit type 1 TsaE" "vnz_21865" 4765960 4766460 "+"
"4172" "L,D-transpeptidase" "vnz_21870" 4766804 4767346 "-"
"4173" "tRNA(adenosine(37)-N6)-threonylcarbamoyltransferase complexdimerization subunit type 1 TsaB" "vnz_21875" 4767467 4768123 "+"
"4174" "ribosomal protein S18-alanineN-acetyltransferase" "vnz_21880" 4768147 4768617 "+"
"4175" "tRNA(adenosine(37)-N6)-threonylcarbamoyltransferase complextransferase subunit TsaD" "vnz_21885" 4768607 4769725 "+"
"4176" "hypothetical protein" "vnz_21890" 4769722 4769976 "+"
"4177" "polysaccharide deacetylase family protein" "vnz_21895" 4770033 4770905 "+"
"4178" "hypothetical protein" "vnz_21900" 4771017 4771373 "+"
"4179" "hypothetical protein" "vnz_21905" 4771366 4771638 "+"
"4180" "hypothetical protein" "vnz_21915" 4772676 4773305 "+"
"4181" "SAM-dependent methyltransferase" "vnz_21920" 4773488 4774675 "-"
"4182" "polysaccharide deacetylase family protein" "vnz_21925" 4774806 4775726 "+"
"4183" "hypothetical protein" "vnz_21930" 4775723 4775902 "+"
"4184" "hypothetical protein" "vnz_21935" 4775974 4776396 "-"
"4185" "co-chaperone GroES" "vnz_21940" 4776699 4777007 "+"
"4186" "chaperonin GroEL" "vnz_21945" 4777139 4778767 "+"
"4187" "ester cyclase" "vnz_21950" 4778835 4779533 "-"
"4188" "hydroxyacid dehydrogenase" "vnz_21955" 4779608 4780630 "-"
"4189" "carbohydrate ABC transporter permease" "vnz_21960" 4780648 4781505 "-"
"4190" "sugar ABC transporter permease" "vnz_21965" 4781502 4782401 "-"
"4191" "sugar ABC transporter substrate-binding protein" "vnz_21970" 4782406 4783737 "-"
"4192" "DeoR/GlpR family transcriptional regulator" "vnz_21975" 4783849 4784946 "-"
"4193" "DUF2264 domain-containing protein" "vnz_21980" 4785131 4787032 "+"
"4194" "SDR family NAD(P)-dependent oxidoreductase" "vnz_21985" 4787064 4787837 "-"
